date	flowrate
2013-04	131.79
2013-05	133.97
2013-06	135.52
2013-07	135.55
2013-08	135.48
2013-09	134.99
2013-10	135.8
2013-11	134.95
2013-12	135.08
2014-01	138.48
2014-02	140.5
2014-03	140.62
2014-04	140.31
2014-05	140.31
2014-06	140.58
2014-07	139.01
2014-08	136.71
2014-09	127.66
2014-10	127.66
2014-11	128.1
2014-12	131.25
2015-01	136.93
2015-02	137.45
2015-03	143.72
2015-04	144.08
2015-05	141.32
2015-06	138.11
2015-07	134.71
2015-08	132.23
2015-09	129.16
2015-10	124.88
2015-11	118.7
2015-12	117.93
2016-01	118.57
2016-02	119.01
2016-03	120.71
2016-04	125.58
2016-05	131.53
2016-06	137.76
2016-07	141.84
2016-08	141.19
2016-09	141.53
2016-10	140.76
2016-11	141.24
2016-12	141.59
2017-01	140.22
2017-02	139.23
2017-03	141.57
2017-04	143.28
2017-05	142.34
2017-06	140.68
2017-07	138.33
2017-08	134.57
2017-09	130.82
2017-10	127.35
2017-11	126.91
2017-12	129.14
2018-01	130.59
2018-02	132.62
2018-03	133.59
2018-04	134.74
2018-05	135.6
2018-06	134.79
2018-07	132.65
2018-08	128.56
2018-09	124.01
2018-10	120.17
2018-11	117.96
2018-12	120.61
2019-01	126.86
2019-02	129
2019-03	132.61
2019-04	134.25
2019-05	134.77
2019-06	135.31
2019-07	132.62
2019-08	130.22
2019-09	124.33
2019-10	119.6
2019-11	115.16
2019-12	112.35
2020-01	112.24
2020-02	114.22
2020-03	118.39
2020-04	122.95
2020-05	128.55
2020-06	133.54
2020-07	133.22
2020-08	130.65
2020-09	127.18
2020-10	124.38
2020-11	124
2020-12	124.34
2021-01	126.08
2021-02	127.74
2021-03	128.22
2021-04	127.77
2021-05	128.75
2021-06	129.26
2021-07	128.22
2021-08	127.47
2021-09	126.87
2021-10	129.02
2021-11	131.92
2021-12	137.13
2022-01	144.26
2022-02	140.47
2022-03	138
2022-04	136.42
2022-05	134.52
2022-06	134.86
2022-07	135.65
2022-08	133.46
2022-09	131.07
2022-10	132.73
2022-11	138.13
2022-12	145.19
2023-01	144.86
2023-02	141.42
2023-03	138.38
2023-04	137.96
2023-05	136.3
2023-06	132.86
2023-07	133.88
2023-08	131.18
2023-09	128.35
2023-10	122.85
2023-11	118.99
2023-12	118.69
2024-01	122.95
2024-02	127.28
2024-03	130.65
2024-04	134.7
2024-05	138.95
2024-06	139.77
2024-07	139.07
2024-08	135.28
2024-09	130.89
2024-10	126.95
2024-11	125.01
2024-12	127.28
