date	flowrate	rainfall
2016-01	37.8	84.02878607
2016-02	37.73	150.4461751
2016-03	38.92	78.74391883
2016-04	37.85	156.0995674
2016-05	40.43	203.865596
2016-06	38.45	186.4035237
2016-07	34.22	116.5136088
2016-08	34.41	127.7693951
2016-09	32.46	172.5344456
2016-10	30.4	161.8876533
2016-11	27.54	240.1758406
2016-12	24.48	212.3586011
2017-01	29.25	243.5286097
2017-02	36.55	163.7354471
2017-03	37.23	230.7892581
2017-04	40.07	257.1417233
2017-05	39.07	237.5243367
2017-06	33.93	131.6780151
2017-07	30.04	76.85261651
2017-08	28.75	196.4587843
2017-09	28.84	302.1213008
2017-10	27.77	170.2867696
2017-11	27.27	290.3532532
2017-12	26.8	240.442379
2018-01	28.26	195.4629996
2018-02	25.8	105.3066849
2018-03	27.94	140.2880896
2018-04	27.69	139.0783177
2018-05	28.05	178.762671
2018-06	28.04	118.0610336
2018-07	24.57	121.7336689
2018-08	18.94	67.94716931
2018-09	15.88	210.5539455
2018-10	20.01	309.7377587
2018-11	19.58	295.9454673
2018-12	21.93	438.4173562
2019-01	23.23	184.5852722
2019-02	23.7	99.30275544
2019-03	21.26	124.5288276
2019-04	22.04	158.0143279
2019-05	22.37	226.8152977
2019-06	22.44	206.9230077
2019-07	19.56	122.4545695
2019-08	17.29	140.0210613
2019-09	16.11	155.3239072
2019-10	21.37	421.9573283
2019-11	30.59	236.591901
2019-12	32.32	269.2701547
2020-01	37.46	94.35424267
2020-02	33.55	76.35721774
2020-03	27.22	89.11016147
2020-04	27	196.1172196
2020-05	28.99	194.9676609
2020-06	25.81	235.3818064
2020-07	23.91	201.9612894
2020-08	22.29	124.9053815
2020-09	21.81	202.0745616
2020-10	20.47	150.7605335
2020-11	20.56	289.8776612
2020-12	22.82	322.1038433
2021-01	24.57	432.6458655
2021-02	33.55	129.7026132
2021-03	27.22	156.8334883
2021-04	27	444.2755599
2021-05	28.64	505.9701565
2021-06	25.81	206.8918267
2021-07	23.91	410.509834
2021-08	22.29	509.0655419
2021-09	21.81	295.2995307
2021-10	20.47	526.8892175
2021-11	20.56	622.3698439
2021-12	22.82	201.9747468
2022-01	16.9	178.3490563
2022-02	17.18	206.7974286
2022-03	19.1	254.5093249
2022-04	20.1	131.1945286
2022-05	19.2	75.84259681
2022-06	17.64	147.2273045
2022-07	15.91	91.75755954
2022-08	14.16	209.8684825
2022-09	13.82	173.0374576
2022-10	13.29	245.4560945
2022-11	11.31	340.0893139
2022-12	13.23	313.6617358
2023-01	18.35	365.1198384
2023-02	17.63	253.778643
2023-03	17.67	207.2664485
2023-04	19.78	110.7611604
2023-05	24.63	234.9815094
2023-06	20.79	105.5356692
2023-07	19.16	147.3085099
2023-08	18.15	414.7872735
2023-09	17.73	209.0900017
2023-10	17.02	396.4584667
2023-11	18.64	484.6960911
2023-12	20.05	368.6532622
2024-01	22.19	190.164186
2024-02	21.21	134.5616636
2024-03	19.43	113.8068614
2024-04	19.75	288.7216973
2024-05	18.99	193.9140705
2024-06	17.71	250.7534485
2024-07	16.19	153.8839095
2024-08	15.99	248.9839981
2024-09	15.4	254.7636176
2024-10	18.7	303.9123439
2024-11	25.51	605.0848377
2024-12	30.34	249.8166469
2025-01	28.71	197.2663069
2025-02	28.22	83.39420869
2025-03	26.33	154.0644014
2025-04	26.18	139.2988949
2025-05	25.45	152.8861681
2025-06	22.72	104.1922085
2025-07	20.34	129.5931921
2025-08	17.91	130.6426318
2025-09	16.25	175.798038
