date	flowrate
2015-06	77.87
2015-07	75.83
2015-08	71.88
2015-09	67.55
2015-10	65.64
2015-11	64.19
2015-12	69.55
2016-01	72.29
2016-02	73.07
2016-03	77.94
2016-04	78.89
2016-05	79.35
2016-06	80.33
2016-07	78.79
2016-08	78.24
2016-09	76.63
2016-10	78.51
2016-11	80.29
2016-12	78.72
2017-01	78.89
2017-02	80.11
2017-03	75.75
2017-04	79.12
2017-05	76.75
2017-06	72.41
2017-07	70.66
2017-08	68.24
2017-09	64.58
2017-10	69.46
2017-11	70.79
2017-12	70.66
2018-01	70.25
2018-02	70.65
2018-03	71.96
2018-04	69.5
2018-05	67.63
2018-06	66.28
2018-07	65.64
2018-08	63.07
2018-09	60.49
2018-10	59.54
2018-11	63.26
2018-12	66.21
2019-01	65.1
2019-02	66.62
2019-03	71.08
2019-04	72.39
2019-05	77.46
2019-06	72.05
2019-07	67.37
2019-08	62.6
2019-09	61.53
2019-10	59.92
2019-11	58.42
2019-12	61.86
2020-01	68.37
2020-02	66.79
2020-03	68.01
2020-04	69.04
2020-05	79
2020-06	78.65
2020-07	75.82
2020-08	71.75
2020-09	68.4
2020-10	67.65
2020-11	69.78
2020-12	69.36
2021-01	70.66
2021-02	71.4
2021-03	71.41
2021-04	71.93
2021-05	71
2021-06	71.24
2021-07	72.81
2021-08	69.26
2021-09	73.9
2021-10	77.03
2021-11	80.91
2021-12	81.85
2022-01	79.85
2022-02	78.32
2022-03	79.05
2022-04	79.86
2022-05	82.49
2022-06	85.04
2022-07	83.79
2022-08	80.18
2022-09	80.54
2022-10	85.18
2022-11	87.83
2022-12	87.53
2023-01	86.28
2023-02	83.31
2023-03	86.84
2023-04	87.83
2023-05	84.91
2023-06	81.84
2023-07	80.05
2023-08	77.22
2023-09	74.38
2023-10	72.31
2023-11	73.1
2023-12	73
2024-01	73.87
2024-02	75.66
2024-03	77.09
2024-04	78.7
2024-05	77.54
2024-06	77.03
2024-07	76.31
2024-08	72.22
2024-09	69.9
2024-10	69.61
2024-11	70.66
2024-12	75.65
