date	flowrate
2014-08	70.61
2014-09	70.70
2014-10	70.32
2014-11	71.17
2014-12	72.23
2015-01	71.55
2015-02	69.96
2015-03	70.20
2015-04	70.72
2015-05	76.52
2015-06	71.37
2015-07	70.45
2015-08	67.29
2015-09	75.43
2015-10	74.84
2015-11	77.27
2015-12	74.35
2016-01	78.27
2016-02	75.60
2016-03	70.10
2016-04	75.23
2016-05	71.35
2016-06	72.90
2016-07	70.23
2016-08	71.77
2016-09	71.27
2016-10	69.90
2016-11	69.65
2016-12	73.31
2017-01	73.51
2017-02	75.06
2017-03	73.86
2017-04	71.72
2017-05	76.23
2017-06	72.65
2017-07	73.32
2017-08	70.56
2017-09	70.72
2017-10	70.99
2017-11	71.13
2017-12	74.53
2018-01	77.58
2018-02	75.66
2018-03	77.26
2018-04	80.09
2018-05	77.67
2018-06	77.93
2018-07	84.20
2018-08	80.71
2018-09	82.77
2018-10	77.03
2018-11	77.13
2018-12	76.06
2019-01	71.19
2019-02	70.54
2019-03	74.09
2019-04	78.64
2019-05	77.61
2019-06	77.62
2019-07	76.47
2019-08	77.80
2019-09	76.55
2019-10	74.02
2019-11	74.58
2019-12	74.72
2020-01	74.82
2020-02	75.44
2020-03	74.95
2020-04	75.08
2020-05	76.81
2020-06	78.30
2020-07	76.70
2020-08	74.89
2020-09	74.34
2020-10	74.31
2020-11	74.36
2020-12	74.61
2021-01	74.61
2021-02	75.39
2021-03	74.18
2021-04	74.20
2021-05	73.87
2021-06	74.03
2021-07	73.90
2021-08	74.48
2021-09	74.07
2021-10	72.94
2021-11	72.30
2021-12	73.42
2022-01	73.06
2022-02	73.54
2022-03	74.49
2022-04	74.43
2022-05	70.95
2022-06	71.35
2022-07	71.14
2022-08	71.13
2022-09	75.07
2022-10	75.97
2022-11	75.96
2022-12	76.34
2023-01	75.99
2023-02	73.35
2023-03	75.87
2023-04	77.92
2023-05	75.70
2023-06	72.97
2023-07	77.98
2023-08	78.12
2023-09	77.68
2023-10	74.53
2023-11	77.50
2023-12	77.63
2024-01	77.34
2024-02	77.09
2024-03	77.52
2024-04	78.06
2024-05	76.85
2024-06	78.06
2024-07	78.43
2024-08	78.51
2024-09	78.47
2024-10	78.31
2024-11	78.34
2024-12	78.14
